JOIN_SN,보험계약건수,해지건수,만기건수,해지율,만기율
9954,1,0,0,0.0,0.0
9990,2,0,1,0.0,0.5
10022,8,0,1,0.0,0.12
10035,2,0,0,0.0,0.0
10114,5,1,1,0.2,0.2
10136,6,4,0,0.67,0.0
10181,2,1,0,0.5,0.0
10184,12,4,0,0.33,0.0
10234,11,1,7,0.09,0.64
10313,4,0,2,0.0,0.5
10351,4,0,0,0.0,0.0
10365,4,2,1,0.5,0.25
10459,6,2,2,0.33,0.33
10498,6,2,0,0.33,0.0
10560,11,0,0,0.0,0.0
10571,4,2,1,0.5,0.25
10635,5,0,0,0.0,0.0
10678,1,0,0,0.0,0.0
10703,8,6,0,0.75,0.0
10752,3,1,0,0.33,0.0
10788,15,1,9,0.07,0.6
10815,1,0,0,0.0,0.0
10826,2,2,1,1.0,0.5
10831,1,0,0,0.0,0.0
10904,2,0,0,0.0,0.0
10915,4,1,0,0.25,0.0
11010,1,1,0,1.0,0.0
11029,2,0,0,0.0,0.0
11121,2,0,0,0.0,0.0
11144,13,5,0,0.38,0.0
11236,5,1,1,0.2,0.2
11370,10,4,1,0.4,0.1
11371,1,0,0,0.0,0.0
11512,2,0,0,0.0,0.0
11513,3,0,0,0.0,0.0
11630,6,0,1,0.0,0.17
11633,1,0,0,0.0,0.0
11717,7,2,6,0.29,0.86
11740,4,1,0,0.25,0.0
11848,13,0,2,0.0,0.15
11868,4,0,0,0.0,0.0
11922,1,0,1,0.0,1.0
11955,2,0,2,0.0,1.0
11984,3,1,0,0.33,0.0
11995,3,1,0,0.33,0.0
12007,13,3,2,0.23,0.15
12012,3,0,0,0.0,0.0
12018,3,0,0,0.0,0.0
12094,3,2,0,0.67,0.0
12127,7,2,0,0.29,0.0
12139,2,2,0,1.0,0.0
12147,11,4,1,0.36,0.09
12179,1,0,0,0.0,0.0
12267,2,0,0,0.0,0.0
12328,1,0,0,0.0,0.0
12444,4,1,0,0.25,0.0
12530,1,0,0,0.0,0.0
12533,3,0,2,0.0,0.67
12562,6,0,0,0.0,0.0
12587,3,0,1,0.0,0.33
12599,3,1,1,0.33,0.33
12630,1,0,0,0.0,0.0
12687,6,0,0,0.0,0.0
12770,3,0,1,0.0,0.33
12887,1,1,0,1.0,0.0
12902,8,2,0,0.25,0.0
12996,4,3,2,0.75,0.5
13114,2,0,0,0.0,0.0
13119,8,8,0,1.0,0.0
13132,11,1,2,0.09,0.18
13189,1,0,0,0.0,0.0
13367,3,0,1,0.0,0.33
13385,6,1,2,0.17,0.33
13496,1,0,0,0.0,0.0
13527,3,0,1,0.0,0.33
13549,1,2,0,2.0,0.0
13569,6,0,0,0.0,0.0
13575,4,3,0,0.75,0.0
13621,2,0,0,0.0,0.0
13693,2,0,0,0.0,0.0
13730,3,2,0,0.67,0.0
13737,1,0,0,0.0,0.0
13792,4,0,0,0.0,0.0
13805,2,0,1,0.0,0.5
13819,1,0,0,0.0,0.0
13881,2,0,0,0.0,0.0
13963,2,0,0,0.0,0.0
13965,4,0,1,0.0,0.25
14140,5,1,1,0.2,0.2
14176,10,1,4,0.1,0.4
14229,17,0,13,0.0,0.76
14276,6,1,2,0.17,0.33
14287,16,10,0,0.62,0.0
14290,6,1,0,0.17,0.0
14347,6,0,5,0.0,0.83
14369,1,0,1,0.0,1.0
14375,10,2,0,0.2,0.0
14389,2,0,0,0.0,0.0
14392,3,1,0,0.33,0.0
14413,2,2,0,1.0,0.0
14443,7,0,3,0.0,0.43
14500,2,1,0,0.5,0.0
14501,1,0,0,0.0,0.0
14531,1,0,1,0.0,1.0
14757,3,1,1,0.33,0.33
14763,1,0,0,0.0,0.0
14770,2,0,1,0.0,0.5
14776,2,1,0,0.5,0.0
14792,1,0,1,0.0,1.0
14802,3,0,0,0.0,0.0
14984,5,1,1,0.2,0.2
15016,6,4,1,0.67,0.17
15017,12,7,0,0.58,0.0
15065,7,0,3,0.0,0.43
15110,5,0,3,0.0,0.6
15165,5,2,2,0.4,0.4
15216,2,0,0,0.0,0.0
15351,1,0,0,0.0,0.0
15398,19,2,2,0.11,0.11
15468,4,1,0,0.25,0.0
15604,3,0,0,0.0,0.0
15789,3,2,0,0.67,0.0
15817,2,0,0,0.0,0.0
15841,9,1,0,0.11,0.0
15898,2,0,1,0.0,0.5
16051,2,0,0,0.0,0.0
16090,5,0,0,0.0,0.0
16237,4,1,0,0.25,0.0
16260,7,0,0,0.0,0.0
16363,7,2,3,0.29,0.43
16364,3,2,0,0.67,0.0
16371,1,0,0,0.0,0.0
16383,6,1,2,0.17,0.33
16406,1,0,1,0.0,1.0
16453,10,1,0,0.1,0.0
16493,2,0,2,0.0,1.0
16509,5,0,2,0.0,0.4
16521,2,0,0,0.0,0.0
16523,11,5,0,0.45,0.0
16599,2,0,1,0.0,0.5
16614,6,5,0,0.83,0.0
16625,3,0,1,0.0,0.33
16655,1,0,0,0.0,0.0
16687,1,0,1,0.0,1.0
16730,6,3,0,0.5,0.0
16742,4,2,1,0.5,0.25
16756,1,0,0,0.0,0.0
16787,18,2,7,0.11,0.39
16854,7,0,0,0.0,0.0
16937,2,0,0,0.0,0.0
17020,2,0,0,0.0,0.0
17193,4,0,2,0.0,0.5
17282,1,0,0,0.0,0.0
17420,6,3,0,0.5,0.0
17516,6,1,0,0.17,0.0
17548,2,0,0,0.0,0.0
17575,3,1,1,0.33,0.33
17626,7,0,2,0.0,0.29
17643,1,0,0,0.0,0.0
17689,1,0,1,0.0,1.0
17829,1,0,0,0.0,0.0
17891,1,1,0,1.0,0.0
17921,2,0,0,0.0,0.0
17930,1,0,0,0.0,0.0
17944,1,0,0,0.0,0.0
18047,8,5,0,0.62,0.0
18080,4,0,0,0.0,0.0
18098,6,0,0,0.0,0.0
18123,9,2,1,0.22,0.11
18130,4,3,0,0.75,0.0
18174,1,0,0,0.0,0.0
18267,2,0,1,0.0,0.5
18285,1,0,0,0.0,0.0
18291,12,3,6,0.25,0.5
18311,7,0,0,0.0,0.0
18318,2,1,0,0.5,0.0
18368,2,2,0,1.0,0.0
18390,16,2,4,0.12,0.25
18565,1,0,0,0.0,0.0
18572,1,0,0,0.0,0.0
18596,9,1,0,0.11,0.0
18607,7,0,6,0.0,0.86
18618,5,0,5,0.0,1.0
18645,5,1,2,0.2,0.4
