,GENDER,AGE_GROUP,CT_PY_CYCLE_CD,CT_PY_PD,mean_AMT,GBN_CD_1,GBN_CD_2,GBN_CD_3,GBN_CD_4,보험계약건수,해지율,만기율,청구건수,계약유지율,코사인군집
69,1,4,2,15,40.0,1,1,1,1,7.0,0.14,0.0,0.0,100.0,0
70,1,2,2,20,25.0,1,1,1,1,7.0,0.0,0.14,0.0,100.0,2
71,1,7,2,15,64.0,1,1,1,0,4.0,0.75,0.0,0.0,15.555555555555555,1
72,2,3,2,20,140.0,1,1,1,1,5.0,0.4,0.2,3.0,100.0,4
73,2,3,2,30,30.0,1,1,1,0,13.0,0.23,0.0,2.0,100.0,0
74,1,2,2,20,85.0,1,1,1,1,8.0,0.38,0.0,0.0,2.9166666666666665,3
75,2,5,2,20,8.0,1,0,0,0,7.0,0.0,0.0,6.0,9.583333333333334,1
76,2,6,2,5,28.0,1,0,1,1,7.0,0.0,0.0,0.0,100.0,2
77,2,5,1,0,290.0,1,1,1,1,2.0,0.0,0.0,0.0,100.0,1
78,1,2,2,20,69.0,1,1,1,1,6.0,0.5,0.0,4.0,100.0,0
79,2,5,2,20,61.5,1,1,1,1,9.0,0.0,0.22,0.0,100.0,0
80,2,5,2,30,62.0,0,1,0,1,9.0,0.0,0.11,3.0,100.0,0
81,1,4,1,0,81.0,1,0,0,1,11.0,0.09,0.64,1.0,100.0,4
82,1,5,2,10,35.0,1,0,1,0,3.0,0.33,0.0,0.0,100.0,0
83,1,4,2,20,230.0,1,1,1,1,4.0,0.5,0.0,0.0,100.0,1
84,2,2,2,15,71.0,1,1,1,1,7.0,0.29,0.29,0.0,100.0,0
85,1,5,2,25,200.0,1,1,1,1,3.0,0.0,0.0,0.0,100.0,1
86,1,3,2,20,49.0,1,0,0,1,6.0,0.33,0.17,3.0,100.0,0
87,2,5,2,20,46.0,1,1,1,1,3.0,0.33,0.0,0.0,100.0,0
88,1,3,2,10,27.0,0,0,0,1,6.0,0.5,0.0,0.0,100.0,2
89,2,6,2,20,57.0,1,1,1,1,12.0,0.17,0.0,0.0,100.0,0
90,1,5,2,10,36.0,1,0,1,1,6.0,0.0,0.17,2.0,100.0,0
91,1,5,2,10,35.0,1,1,1,1,11.0,0.0,0.0,1.0,100.0,0
92,1,4,2,20,41.0,1,1,1,1,18.0,0.22,0.5,0.0,100.0,0
93,2,3,2,25,110.0,1,1,1,1,4.0,0.25,0.0,0.0,9.666666666666666,3
94,2,6,1,0,97.0,1,0,0,1,6.0,0.17,0.17,1.0,100.0,4
95,2,3,2,15,37.0,1,1,1,1,8.0,0.12,0.12,1.0,100.0,0
96,2,2,2,30,80.0,1,1,1,1,11.0,0.45,0.36,0.0,100.0,4
97,1,4,2,30,28.0,1,1,1,1,9.0,0.0,0.0,0.0,100.0,2
98,2,0,2,20,53.4,1,1,1,1,5.0,0.6,0.0,0.0,100.0,0
99,1,5,2,1,3.0,1,0,0,0,18.0,0.06,0.72,0.0,100.0,2
100,1,3,2,5,140.0,1,0,0,1,3.0,0.33,0.0,0.0,100.0,4
101,2,5,2,1,23.0,1,1,0,0,21.0,0.0,0.67,1.0,100.0,2
102,1,3,2,20,25.5,1,1,1,1,1.0,1.0,0.0,0.0,100.0,2
103,2,7,2,10,11.0,1,0,1,1,23.0,0.17,0.13,0.0,100.0,2
104,2,5,2,10,60.0,0,0,0,1,10.0,0.1,0.0,0.0,100.0,0
105,1,6,2,10,66.0,1,1,1,1,6.0,0.0,0.0,1.0,0.0,3
106,2,5,2,15,36.0,1,1,0,0,6.0,0.5,0.0,0.0,100.0,0
107,2,5,2,20,74.0,1,1,1,0,6.0,0.33,0.0,0.0,100.0,0
108,2,5,2,15,34.0,1,1,1,1,7.0,0.43,0.0,0.0,4.444444444444445,3
109,1,6,2,10,19.0,1,1,1,1,1.0,0.0,1.0,0.0,100.0,2
110,1,5,2,15,12.0,0,0,1,1,7.0,0.57,0.14,4.0,100.0,2
111,1,6,2,10,99.0,0,0,0,1,19.0,0.0,0.11,0.0,100.0,4
112,2,3,2,7,30.0,0,0,1,1,4.0,0.25,0.0,2.0,100.0,2
113,1,5,2,10,22.0,0,0,0,1,7.0,0.0,0.14,0.0,46.66666666666666,0
114,1,3,2,20,30.0,1,1,1,1,3.0,0.33,0.0,0.0,3.333333333333333,3
115,1,6,2,10,14.0,1,1,1,1,14.0,0.07,0.21,0.0,100.0,2
116,1,3,2,25,29.0,1,0,0,0,4.0,0.0,0.25,1.0,100.0,2
117,1,5,2,10,31.0,1,1,1,1,9.0,0.0,0.0,0.0,100.0,2
118,2,5,2,15,35.0,1,1,0,0,6.0,0.67,0.0,1.0,100.0,0
119,1,6,2,49,170.0,1,1,1,1,3.0,0.0,0.0,0.0,100.0,1
120,2,5,2,10,55.0,1,0,0,0,14.0,0.14,0.21,5.0,100.0,0
121,1,5,3,2,5000.0,1,0,0,1,9.0,0.22,0.11,0.0,100.0,3
122,1,5,2,20,33.0,1,1,1,1,13.0,0.0,0.0,1.0,100.0,0
123,2,2,2,20,22.0,1,0,1,1,5.0,0.2,0.0,0.0,100.0,2
124,1,4,2,10,31.0,1,0,1,1,6.0,0.17,0.33,2.0,100.0,2
125,2,3,2,20,58.5,1,1,0,0,9.0,0.22,0.0,0.0,100.0,0
126,1,5,2,10,71.0,0,1,0,0,8.0,0.0,0.0,0.0,100.0,0
127,2,4,2,20,31.0,1,0,0,0,14.0,0.07,0.21,3.0,100.0,0
128,1,3,2,20,14.0,1,0,1,1,8.0,0.0,0.12,0.0,100.0,2
129,2,7,2,10,66.0,1,1,1,0,7.0,0.71,0.0,1.0,8.333333333333332,3
130,2,1,1,0,350.0,1,0,0,1,11.0,0.64,0.18,0.0,100.0,1
131,2,6,2,20,10.0,1,1,1,1,5.0,0.4,0.0,0.0,4.583333333333333,3
132,2,6,2,30,29.0,1,1,0,0,14.0,0.21,0.07,2.0,100.0,2
133,1,4,2,57,89.33333333333333,1,1,1,1,1.0,0.0,0.0,0.0,100.0,4
134,2,4,2,3,8.0,1,0,0,0,11.0,0.45,0.0,0.0,13.88888888888889,4
135,2,7,2,20,25.0,1,1,1,1,8.0,0.25,0.25,0.0,100.0,2
136,1,3,2,20,21.0,1,1,0,1,6.0,0.33,0.0,3.0,12.916666666666668,1
137,1,6,2,10,65.0,1,1,1,1,13.0,0.23,0.08,3.0,100.0,0
138,1,7,2,20,54.0,1,1,1,1,13.0,0.77,0.0,1.0,100.0,0
139,2,2,2,10,34.0,0,0,0,1,5.0,0.0,0.0,1.0,100.0,0
140,2,3,2,10,34.0,1,0,0,0,7.0,0.0,0.14,0.0,100.0,0
141,1,4,2,20,70.0,1,1,0,0,12.0,0.25,0.0,0.0,100.0,0
142,1,4,2,20,17.0,1,0,1,1,5.0,0.6,0.0,0.0,100.0,2
143,2,2,2,20,130.0,1,1,1,1,10.0,0.0,0.0,0.0,2.9166666666666665,3
144,1,3,2,20,23.0,1,0,0,0,7.0,0.29,0.0,2.0,100.0,2
145,1,7,2,10,100.0,0,1,0,0,10.0,0.1,0.0,0.0,100.0,4
146,1,3,2,10,35.0,1,0,0,0,2.0,0.0,0.0,0.0,100.0,0
147,1,4,2,20,64.0,1,0,0,1,6.0,0.0,0.17,0.0,100.0,0
148,1,6,2,10,88.0,1,1,1,0,5.0,0.4,0.2,0.0,100.0,4
149,2,2,2,25,62.0,1,1,1,0,3.0,0.33,0.0,1.0,100.0,0
150,1,3,2,20,150.0,1,1,1,0,8.0,0.0,0.12,0.0,100.0,4
151,2,5,2,10,24.0,1,0,0,0,4.0,1.25,0.0,3.0,100.0,2
152,1,5,2,46,290.0,1,1,1,1,6.0,0.33,0.17,1.0,13.949275362318842,3
153,2,3,2,10,240.0,1,0,0,0,4.0,0.0,0.5,0.0,91.66666666666666,1
154,1,5,2,20,14.0,1,0,1,1,20.0,0.0,0.8,2.0,100.0,2
155,1,3,2,20,41.0,1,1,1,0,8.0,0.12,0.0,0.0,100.0,0
156,1,2,2,20,28.0,1,1,1,1,7.0,0.29,0.0,0.0,100.0,2
157,1,6,2,10,42.0,0,1,0,0,5.0,0.2,0.0,1.0,100.0,0
158,2,3,2,20,120.0,1,0,0,0,7.0,0.14,0.14,0.0,100.0,4
159,2,4,2,20,15.0,1,1,1,1,2.0,0.0,0.0,3.0,100.0,2
160,2,2,2,10,36.0,0,0,0,1,10.0,0.3,0.1,1.0,2.5,3
161,2,2,2,20,58.0,1,0,0,0,7.0,0.29,0.14,0.0,100.0,0
162,1,3,2,20,48.0,1,0,1,1,5.0,0.4,0.0,0.0,100.0,0
163,2,4,1,0,95.0,1,1,1,1,6.0,0.17,0.0,0.0,100.0,4
164,1,5,2,15,13.0,1,0,0,1,8.0,0.25,0.12,3.0,15.555555555555555,4
165,2,5,2,7,120.0,1,0,0,0,3.0,0.0,0.0,0.0,100.0,4
166,1,5,2,10,42.0,1,1,1,0,4.0,0.75,0.0,0.0,100.0,0
167,1,6,2,3,330.0,1,0,0,0,5.0,0.8,0.0,2.0,100.0,1
168,2,3,2,30,55.0,1,1,1,1,11.0,0.36,0.0,0.0,100.0,0
169,2,4,2,20,18.0,1,0,0,1,2.0,0.0,0.0,1.0,100.0,2
170,2,3,2,5,27.0,1,0,1,1,7.0,0.86,0.0,1.0,13.333333333333334,1
171,1,6,2,20,62.5,1,1,1,1,2.0,0.0,0.5,0.0,100.0,0
172,1,5,2,12,55.0,1,0,0,0,7.0,0.0,0.14,1.0,100.0,0
173,1,5,2,10,10.0,0,0,0,1,6.0,0.0,0.67,0.0,100.0,2
174,2,7,2,15,70.0,0,1,1,1,5.0,0.0,0.0,0.0,100.0,0
175,1,5,2,20,9.0,1,1,1,1,2.0,1.0,0.5,0.0,100.0,2
176,1,4,2,20,22.0,1,1,1,1,9.0,0.67,0.11,3.0,100.0,2
177,2,5,2,15,51.0,1,1,1,0,5.0,0.2,0.2,0.0,100.0,0
178,1,2,2,10,55.0,1,1,1,1,13.0,0.08,0.08,0.0,100.0,0
179,2,6,2,30,135.0,1,1,1,1,13.0,0.0,0.0,0.0,100.0,4
180,1,2,2,20,31.0,1,0,0,0,10.0,0.2,0.4,3.0,100.0,0
181,2,6,2,20,230.0,1,1,1,1,1.0,0.0,0.0,0.0,100.0,1
182,1,3,2,30,55.0,1,1,1,1,11.0,0.18,0.0,0.0,100.0,0
183,1,5,2,20,46.0,1,1,1,1,3.0,0.33,0.33,3.0,100.0,0
184,1,3,2,20,63.0,1,1,1,0,13.0,0.69,0.0,0.0,100.0,0
185,2,4,2,20,260.0,1,1,1,1,9.0,0.33,0.0,0.0,100.0,1
186,1,6,2,20,190.0,1,1,1,0,7.0,0.0,0.0,0.0,100.0,1
187,2,4,2,30,66.0,1,1,1,1,18.0,0.11,0.0,0.0,100.0,0
188,2,3,2,25,180.0,1,1,1,1,5.0,0.2,0.4,0.0,100.0,1
189,2,5,2,15,26.0,1,1,1,1,4.0,0.5,0.5,0.0,100.0,2
190,2,4,2,20,31.0,0,0,0,1,10.0,0.1,0.3,0.0,100.0,0
191,1,5,2,15,45.0,1,1,1,1,7.0,0.57,0.14,4.0,100.0,0
192,1,3,2,10,13.0,1,0,0,0,2.0,0.0,0.0,1.0,100.0,2
193,1,7,1,0,350.0,1,1,1,1,4.0,0.25,0.0,0.0,100.0,1
194,2,5,2,20,110.0,1,1,0,0,13.0,0.08,0.0,0.0,30.0,1
195,2,2,2,20,17.0,1,1,1,1,15.0,0.4,0.07,0.0,100.0,2
196,2,6,2,17,15.0,1,1,1,0,8.0,0.0,0.0,0.0,100.0,2
197,2,5,2,15,24.0,1,1,1,0,11.0,0.09,0.0,1.0,100.0,2
198,1,4,1,0,19.0,1,0,0,1,2.0,0.0,1.0,2.0,100.0,2
199,1,6,2,20,45.0,1,1,1,1,7.0,0.29,0.0,0.0,100.0,0
200,1,5,2,10,88.5,1,1,1,1,18.0,0.11,0.22,0.0,100.0,4
201,1,4,2,20,58.0,1,1,1,1,13.0,0.0,0.0,0.0,100.0,0
202,1,6,2,25,50.0,1,1,1,0,1.0,0.0,0.0,1.0,100.0,0
203,2,3,2,20,49.0,1,1,0,0,8.0,0.25,0.0,0.0,100.0,0
204,1,3,1,0,11.0,1,0,0,0,1.0,0.0,0.0,0.0,100.0,2
205,2,3,2,20,22.0,1,1,1,1,2.0,0.0,0.5,0.0,100.0,2
206,1,4,2,20,58.0,1,1,1,1,5.0,0.0,0.2,0.0,100.0,0
207,2,3,2,15,39.0,1,0,0,0,7.0,0.14,0.0,3.0,100.0,0
208,1,6,2,5,21.0,1,0,0,0,4.0,0.5,0.5,0.0,100.0,2
209,2,4,2,20,35.0,1,1,1,0,12.0,0.5,0.0,4.0,100.0,0
210,2,8,2,1,18.0,1,1,1,1,13.0,0.15,0.69,2.0,100.0,2
