GENDER,AGE_GROUP,reduce_GBN_CD,CT_PY_CYCLE_CD,CT_PY_PD,mean_AMT,GBN_CD_1,GBN_CD_2,GBN_CD_3,GBN_CD_4,보험계약건수,해지율,만기율,청구건수,계약유지율,업권,코사인군집
2,3,2,2,10,19.0,0,1,1,1,5.0,0.2,0.0,3.0,100.0,2,0
1,4,2,2,20,200.0,1,1,1,0,5.0,0.4,0.0,2.0,100.0,2,4
2,2,8,2,20,59.0,1,1,0,0,6.0,0.33,0.17,1.0,100.0,2,3
1,2,1,2,20,140.0,1,0,0,0,8.0,0.0,0.25,0.0,100.0,2,2
2,3,2,2,10,18.0,1,1,0,0,9.0,0.0,0.0,0.0,100.0,2,0
1,4,2,2,20,185.0,1,1,1,1,3.0,0.33,0.33,0.0,100.0,2,4
2,6,2,2,15,35.0,1,1,0,0,12.0,0.08,0.0,0.0,100.0,2,0
1,7,2,2,20,48.0,1,1,1,0,12.0,0.33,0.17,1.0,61.66666666666667,2,3
2,5,7,2,10,510.0,0,1,1,0,13.0,0.08,0.15,0.0,100.0,2,1
2,5,8,2,5,15.0,1,0,0,1,12.0,0.17,0.42,0.0,100.0,2,0
1,4,7,2,7,260.0,1,0,0,0,9.0,0.22,0.0,0.0,100.0,2,4
2,3,2,2,15,20.0,1,1,0,0,2.0,0.0,0.0,4.0,100.0,2,0
1,7,7,1,0,5000.0,1,0,0,0,11.0,0.64,0.0,1.0,100.0,2,1
1,4,2,2,20,140.0,1,1,1,0,8.0,0.12,0.0,0.0,100.0,2,2
2,6,1,2,10,540.0,1,0,0,0,11.0,0.0,0.09,0.0,100.0,2,1
2,3,7,1,0,5000.0,1,0,0,0,20.0,0.3,0.05,0.0,5.395088121272875,2,1
1,3,2,2,10,55.0,0,1,0,0,12.0,0.08,0.0,1.0,100.0,2,3
1,4,7,2,99,180.0,1,0,0,0,8.0,0.25,0.12,2.0,12.457912457912458,2,1
1,5,8,2,20,71.0,1,0,0,0,23.0,0.17,0.0,0.0,100.0,2,3
