GENDER,AGE_GROUP,reduce_GBN_CD,CT_PY_CYCLE_CD,CT_PY_PD,mean_AMT,GBN_CD_1,GBN_CD_2,GBN_CD_3,GBN_CD_4,보험계약건수,해지율,만기율,청구건수,계약유지율,코사인군집
1,3,1,2,20,62.0,1,1,1,1,13.0,0.0,0.0,0.0,100.0,1
1,7,2,2,31,16.0,1,0,1,0,6.0,0.17,0.17,0.0,100.0,4
2,5,7,2,5,1700.0,1,0,0,0,6.0,0.0,0.0,1.0,100.0,2
2,3,8,2,15,74.0,0,0,0,1,3.0,0.0,0.33,0.0,100.0,0
1,3,2,2,10,16.0,0,0,1,0,4.0,0.5,0.0,0.0,83.33333333333334,4
1,6,7,2,5,130.0,1,0,0,1,3.0,0.67,0.33,0.0,76.66666666666667,3
2,5,2,2,10,55.0,0,1,1,0,9.0,0.0,0.11,0.0,100.0,1
2,6,2,2,10,25.0,0,1,1,0,13.0,0.0,0.0,0.0,100.0,4
1,6,3,2,5,12.0,1,0,0,0,7.0,0.0,0.0,0.0,100.0,4
2,6,2,2,10,59.0,0,1,0,0,1.0,0.0,0.0,0.0,100.0,1
1,7,2,2,31,31.0,0,1,0,0,23.0,0.04,0.65,0.0,100.0,1
2,5,2,2,10,40.0,0,1,1,0,5.0,0.2,0.0,8.0,100.0,1
2,4,2,2,10,36.0,0,1,0,0,5.0,0.2,0.2,1.0,100.0,1
2,6,2,2,10,67.0,0,1,1,0,9.0,0.44,0.0,6.0,5.833333333333333,2
1,3,2,2,20,20.0,1,1,1,1,13.0,0.62,0.08,3.0,100.0,4
2,4,2,2,10,40.0,0,1,1,0,4.0,0.0,0.0,0.0,100.0,1
1,7,2,2,10,45.0,0,1,0,0,4.0,0.75,0.0,0.0,1.6666666666666667,2
1,2,2,2,30,69.0,0,1,1,1,1.0,0.0,0.0,0.0,100.0,1
2,7,3,2,20,8.0,0,1,1,0,3.0,0.33,0.0,0.0,100.0,4
1,7,2,2,33,20.5,1,1,0,0,6.0,0.0,0.0,0.0,100.0,4
2,2,2,2,20,50.0,0,1,1,0,4.0,0.0,0.0,3.0,100.0,1
2,5,2,2,10,22.0,0,1,0,0,4.0,0.0,0.0,1.0,100.0,4
1,2,2,2,10,25.0,0,1,1,0,3.0,0.0,0.0,0.0,100.0,4
1,5,2,2,10,37.0,0,1,1,0,4.0,0.0,0.0,2.0,100.0,1
2,3,1,2,10,41.0,1,1,1,0,5.0,0.6,0.0,0.0,63.33333333333333,1
2,6,7,2,5,95.0,1,0,0,1,9.0,0.0,0.0,0.0,100.0,0
1,5,2,2,10,43.0,0,1,0,0,9.0,0.89,0.0,0.0,33.33333333333333,0
1,2,2,2,30,4.0,1,0,0,0,6.0,0.5,0.0,0.0,1.9444444444444444,2
1,6,7,2,5,73.0,1,0,0,0,4.0,0.0,0.75,0.0,100.0,0
1,4,2,2,10,18.0,0,1,0,0,1.0,0.0,0.0,0.0,100.0,4
1,6,8,2,10,63.0,0,1,0,0,4.0,0.0,0.0,1.0,100.0,1
2,2,3,2,30,11.0,1,0,1,0,4.0,0.0,0.5,0.0,100.0,4
1,6,7,2,5,95.0,1,0,0,0,11.0,0.18,0.0,4.0,100.0,0
1,6,2,2,5,59.0,0,1,1,0,1.0,0.0,0.0,0.0,100.0,1
1,2,2,2,10,11.0,0,1,0,0,3.0,0.33,0.0,2.0,100.0,4
1,6,2,2,10,49.0,0,1,0,0,3.0,0.0,0.0,4.0,100.0,1
2,7,1,2,20,44.0,1,0,1,0,3.0,0.0,0.0,2.0,100.0,1
2,6,2,2,10,29.0,0,1,0,0,19.0,0.21,0.0,0.0,100.0,4
1,4,2,2,10,18.0,0,1,0,0,9.0,0.0,0.0,0.0,100.0,4
1,2,2,2,10,29.0,0,1,1,0,9.0,0.22,0.11,1.0,100.0,4
2,4,8,2,25,28.0,1,0,0,1,6.0,0.0,0.0,6.0,100.0,4
1,5,2,2,10,29.0,0,1,1,0,4.0,0.0,0.0,0.0,100.0,4
1,5,2,2,10,27.0,0,1,0,0,6.0,0.17,0.0,0.0,100.0,4
2,2,3,2,20,7.0,0,1,1,0,5.0,0.0,0.2,0.0,100.0,4
1,4,1,2,10,160.0,1,1,0,0,6.0,0.17,0.0,0.0,100.0,3
2,5,2,2,20,22.0,0,1,1,0,14.0,0.0,0.14,0.0,100.0,4
2,3,2,2,30,65.0,1,1,1,0,11.0,0.45,0.0,0.0,2.2222222222222223,2
2,6,2,2,10,40.0,0,1,0,0,6.0,0.17,0.0,5.0,100.0,1
1,5,2,2,10,29.0,0,1,1,0,10.0,0.2,0.0,3.0,100.0,4
2,6,1,2,10,69.0,1,1,0,0,12.0,0.33,0.08,4.0,100.0,1
1,5,2,2,10,38.0,0,1,1,0,10.0,0.1,0.0,0.0,100.0,1
2,4,2,2,10,24.0,0,1,0,0,3.0,0.67,0.0,0.0,100.0,4
1,5,1,2,20,160.0,1,1,1,0,12.0,0.58,0.25,1.0,100.0,3
1,6,2,2,10,31.0,0,1,0,0,17.0,0.59,0.0,0.0,100.0,1
2,2,1,2,20,85.0,1,0,1,0,10.0,0.1,0.2,1.0,100.0,0
2,3,5,2,10,22.0,1,0,1,1,12.0,0.08,0.0,0.0,100.0,4
2,7,1,2,15,51.0,1,1,1,0,14.0,0.43,0.0,0.0,100.0,1
1,7,8,2,10,67.0,0,1,0,0,3.0,0.33,0.0,1.0,64.16666666666667,0
2,2,3,2,30,5.0,1,0,1,0,4.0,0.0,0.0,1.0,100.0,4
